"['Egg', 'Apple']",75.0
"['Egg', 'Beer']",75.0
"['Cereal', 'Apple']",66.67
"['Apple', 'Cereal']",66.67
"['Apple', 'Beer']",66.67
"['Beer', 'Apple']",57.14
"['Beer', 'Milk']",71.43
"['Milk', 'Vitamin']",57.14
"['Milk', 'Beer']",71.43
"['Chip', 'Vitamin']",60.0
"['Chip', 'Ice cream']",60.0
"['Chip', 'Beer']",60.0
"['Egg', 'Apple']",75.0
"['Egg', 'Beer']",75.0
"['Cereal', 'Apple']",66.67
"['Apple', 'Cereal']",66.67
"['Apple', 'Beer']",66.67
"['Beer', 'Apple']",57.14
"['Beer', 'Milk']",71.43
"['Milk', 'Vitamin']",57.14
"['Milk', 'Beer']",71.43
"['Chip', 'Vitamin']",60.0
"['Chip', 'Ice cream']",60.0
"['Chip', 'Beer']",60.0
"['Cereal', 'Apple', 'Beer']",75.0
"['Cereal', 'Beer', 'Apple']",100.0
"['Apple', 'Cereal', 'Beer']",75.0
"['Apple', 'Beer', 'Cereal']",75.0
"['Ice cream', 'Beer', 'Milk']",100.0
"['Ice cream', 'Milk', 'Beer']",100.0
"['Beer', 'Cereal', 'Apple']",100.0
"['Beer', 'Apple', 'Cereal']",75.0
"['Beer', 'Ice cream', 'Milk']",100.0
"['Beer', 'Milk', 'Ice cream']",60.0
"['Milk', 'Ice cream', 'Beer']",100.0
"['Milk', 'Beer', 'Ice cream']",60.0
